comune,delta_rd_percent,delta_ru_totali,delta_ru_pro_capite
MATHI,78.23,1534.877,412.15816326530614
MATHI,0.0,0.0,0.0
MATHI,0.0,0.0,0.0
MATHI,-73.31,-1560.155,-408.8456498951782
MATTIE,-62.48,-328.184,-506.4567901234568
MATTIE,0.0,0.0,0.0
MATTIE,0.0,0.0,0.0
MATTIE,61.82,351.705,514.9414348462665
MAZZE',-67.69,-1697.824,-410.30062832286126
MAZZE',0.0,0.0,0.0
MAZZE',0.0,0.0,0.0
MAZZE',77.66,1865.963,437.0960412274537
MEANA DI SUSA,0.0,0.0,0.0
MEANA DI SUSA,-61.53,-430.757,-533.7757125154894
MEANA DI SUSA,65.63,440.614,538.6479217603912
MERCENASCO,-76.39,-877.544,-690.4358772619984
MERCENASCO,0.0,0.0,0.0
MERCENASCO,0.0,0.0,0.0
MERCENASCO,75.25,870.935,656.3187641296157
MEZZENILE,49.16,285.119,395.4493758668516
MEZZENILE,0.0,0.0,0.0
MEZZENILE,0.0,0.0,0.0
MEZZENILE,-45.5,-265.548,-349.40526315789475
MOMBELLO DI TORINO,-58.17,-92.306,-241.00783289817232
MOMBELLO DI TORINO,0.0,0.0,0.0
MOMBELLO DI TORINO,0.0,0.0,0.0
MOMBELLO DI TORINO,60.08,109.408,268.15686274509807
MOMPANTERO,67.54,268.726,438.3784665579119
